Nome EC,UF EC,Cidade EC,Logradouro EC,Desvio de Preço (%),Blacklist,Preço por Litro,Mercadoria
AUTO POSTO EXTRA,MA,IMPERATRIZ,"Rua R SOUSA LIMA, S/N","1,17%",✅ Dentro da média,6.29,Gasolina Comum
AUTO POSTO PAPAI DE MAUA LTDA,SP,MAUA,"Rua AV BR MAUA 2711, S/N","1,17%",✅ Dentro da média,6.29,Gasolina Comum
AUTO POSTO PIVA,MG,CAXAMBU,"Rua ROD BR  267, S/N","1,17%",✅ Dentro da média,6.29,Gasolina Comum
AUTO POSTO VILA NOVA,SP,CUBATAO,"Rua AV 9 DE ABRIL 2916, S/N","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO CARVALHO,PI,TERESINA,"Rua R MAGALHAES FILHO 2166, S/N","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO KID DOLAR,RJ,SILVA JARDIM,"Rua ROD BR 101 KM 236, S/N","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO LUC DE PADUA,RJ,SANTO ANTONIO DE PADUA,Rua RODOVIA RJ 116 KM 0 ESTRADA,"1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO MARTINEZ 3,PI,ITAUEIRA,"Rua R. JUSSELINO KUBECHEK SN, S/","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO NOVO PINHEIRAL,RJ,PINHEIRAL,"Rua AV NILTON PENNA BOTELHO 738,","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO PUMA,RJ,SAO PEDRO DA ALDEIA,"Rua ROD RJ 140, S/N","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO QUATRO RODAS,MA,IMPERATRIZ,"Área AVENIDA BERNARDO SAYAO, 132","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO REFORCO II,SE,UMBAUBA,"Rua ROD BR 101 KM 179,5 SN, S/N","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO SALLES LTDA,SP,SAO SEBASTIAO,"Rua AV GUARDA MOR LOBO VIANA, 13","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO SANTANA,BA,CASA NOVA,RODOVIA BR 235 SN,"1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO SANTO ANTONIO,MG,COROMANDEL,Rua R CLESIO EUSTAQUIO MIGUELETO,"1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO SEABRA,BA,SEABRA,"Rua ROD BR 242 KM 271,5, S/N","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO SERVICO CIDADE,PE,CARPINA,"Rua AV.  AGAMENON MAGALHAES 139,","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO TREVO,PI,FLORIANO,"Rua AV DIRCEU ARCO VERDE 500, S/","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO VEU DAS NOIVAS,RJ,NOVA FRIBURGO,"Área RUA SEBASTIAO MARTINS, 349,","1,17%",✅ Dentro da média,6.29,Gasolina Comum
POSTO VIA LAGOS,RJ,SAO PEDRO DA ALDEIA,ROD AMARAL PEIXOTO,"1,17%",✅ Dentro da média,6.29,Gasolina Comum
AUTO POSTO JUCAS LTDA,CE,JUCAS,Área AV ORMECINDA CORREIA LEITE,"1,17%",✅ Dentro da média,6.289999999999999,Gasolina Comum
POSTO CACIQUE 23,PI,TERESINA,"Área RODOVIA BR 343 SN, S/N","1,17%",✅ Dentro da média,6.289999999999999,Gasolina Comum
POSTO PIRIPIRI,PI,PIRIPIRI,"Avenida ADERSON FERREIRA, 2390","1,17%",✅ Dentro da média,6.289999999999999,Gasolina Comum
POSTO TABAPOA,CE,CAUCAIA,ROD BR 222,"1,15%",✅ Dentro da média,6.288648605830165,Gasolina Comum
POSTO BELLAS SAO PEDRO DA ALDEI,RJ,SAO PEDRO DA ALDEIA,"Rua RODOVIA RJ-140, S/N","1,14%",✅ Dentro da média,6.288236900546189,Gasolina Comum
AUTO POSTO G4 LTDA,SP,MAUA,"Rua AVENIDA JOAO RAMALHO, 150 4B","1,14%",✅ Dentro da média,4.358207865152172,Etanol
JOCKEY COMERCIO DE COM,CE,FORTALEZA,Rua AVENIDA LINEU MACHADO N 560,"1,06%",✅ Dentro da média,5.94,Diesel S10
POSTO ALBERTO ANDRADE II,AP,MACAPA,"Rua RUA PAULO, 381, S/N","1,03%",✅ Dentro da média,6.281632350375152,Gasolina Comum
DISTRIBUIDORA FENIX,CE,FORTALEZA,"Rua AV JORN TOMAZ COELHO 1878, S","1,03%",✅ Dentro da média,6.281320800485142,Gasolina Comum
POSTO AGULHAS NEGRAS,RJ,RESENDE,"Rua PRACA CONCORDIA,60, S/N","1,02%",✅ Dentro da média,6.281086105675147,Gasolina Comum
POSTO. SAO RAIMUNDO,MA,SANTA LUZIA,"Rua BR222 KM 46 S/N, S/N","1,01%",✅ Dentro da média,6.28014403833231,Gasolina Comum
POSTO SAO CRISTOVAO,SP,SAO PAULO,"Rua AV BUCAR NETO 574, S/N","1,01%",✅ Dentro da média,6.280000000000001,Gasolina Comum
Auto Posto Verdurao,MG,COROMANDEL,Área Rua Doutor Ermiro Rodrigues,"1,01%",✅ Dentro da média,6.28,Gasolina Comum
AUTO POSTO BRASIL,RJ,VOLTA REDONDA,"Rua RUA QUATRO, S/N","0,95%",✅ Dentro da média,6.2765742546276675,Gasolina Comum
AUTO POSTO PEIROPOLIS,MG,UBERABA,"Área PC DOUTOR HENRIQUE KRUGER,","0,95%",✅ Dentro da média,4.35,Etanol
POSTO OCEANO,CE,FORTALEZA,"Rua AV FRANCISCO SA 2815, S/N","0,94%",✅ Dentro da média,6,Diesel
POSTO MAGNOLIA,MA,MARANHAO,"Rua BR 316 KM 265 S/N, S/N","0,93%",✅ Dentro da média,6.275285084791027,Gasolina Comum
POSTO CASA VERDE,MS,NOVA ANDRADINA,"Rua ROD BR 267 SN, S/N","0,92%",✅ Dentro da média,4.349074953541193,Etanol
POSTO FLORESTAL,RN,ACU,"Rua ROD BR 304 KM 110,2, S/N","0,92%",✅ Dentro da média,5.931362720966659,Diesel S10
ECODRIVE,MA,IMPERATRIZ,"Rodovia ROD BR010, NA","0,90%",✅ Dentro da média,6.273490750572849,Gasolina Comum
POSTO CONFIANCA I,MA,PRESIDENTE DUTRA,"Área AV JOSE OLAVO SAMPAIO, 60,","0,90%",✅ Dentro da média,6.273037872683321,Gasolina Comum
POSTO PERIMETRAL,CE,FORTALEZA,"Rua R. SEN ALVARO ADOLFO 1789, S","0,88%",✅ Dentro da média,6.2719567538707945,Gasolina Comum
DIGO S AUTO POSTO II,PR,MARINGA,Área AV DONA SOPHIA RASGULAEFF 3,"0,85%",✅ Dentro da média,4.345877843087146,Etanol
POSTO NOSSA SENHORA DA GUIA,PI,FLORIANO,"Rua AVENIDA CALISTO LOBO 770, S/","0,85%",✅ Dentro da média,6.2700000000000005,Gasolina Comum
POSTO VAQUEIRO,CE,EUSEBIO,Rua RODOVIA  ANEL VIARIO S/N KM,"0,85%",✅ Dentro da média,6.27,Gasolina Comum
SP SOL POENTE,CE,FORTALEZA,"Área ROD ESTRUTURANTE CE, S/N","0,85%",✅ Dentro da média,6.27,Gasolina Comum
POSTO PIONEIRO,CE,FORTALEZA,"Rua AV A 855 3 ETAPA, S/N","0,84%",✅ Dentro da média,6.269640762801864,Gasolina Comum
POSTO BARBARA,RJ,VOLTA REDONDA,"Rua VIA SERGIO BRAGA 1070, S/N","0,83%",✅ Dentro da média,6.269220588235294,Gasolina Comum
POSTO PECEM,CE,SAO GONCALO DO AMARANTE,"Rua ROD CE 121, S/N","0,83%",✅ Dentro da média,6.2687769339456025,Gasolina Comum
POSTO HAVAI 2,CE,TAUA,Rua AV CHERMONT ALVES DE OLV 897,"0,78%",✅ Dentro da média,6.266136062825377,Gasolina Comum
POSTO VILA,CE,FORTALEZA,"Rua AV DOS EXPEDICIONARIOS 9977,","0,78%",✅ Dentro da média,5.990616446800641,Diesel
AUTO POSTO TIGRAO,CE,FORTALEZA,"Rua BR 116 KM 12    2928, S/N","0,77%",✅ Dentro da média,5.99,Diesel
FCNX CONBUSTIVEIS,MA,CAXIAS,"Rua ROD BR-316 KM 552, S/N","0,77%",✅ Dentro da média,5.99,Diesel
MM PETROLEO,CE,MARACANAU,"Avenida RADIALISTA JOAO RAMOS, 3","0,77%",✅ Dentro da média,5.99,Diesel
POSTO ATLANTICO,CE,FORTALEZA,"Rua AV.  ABOLICAO 3395, S/N","0,77%",✅ Dentro da média,5.99,Diesel
POSTO HOMERO,PI,TERESINA,"Avenida DOUTOR NICANOR BARRETO,","0,77%",✅ Dentro da média,5.99,Diesel
POSTO MONTEZUMA V,CE,FORTALEZA,"Rua RUA GRACA ARANHA 150, S/N","0,77%",✅ Dentro da média,5.99,Diesel
POSTO PIONEIRO,CE,FORTALEZA,"Rua AV A 855 3 ETAPA, S/N","0,77%",✅ Dentro da média,5.99,Diesel
REDE CEARA OUTLET,CE,CAUCAIA,"Área ROD. BR 020, KM 14,5, 6354,","0,77%",✅ Dentro da média,5.99,Diesel
RVM DO SUDOESTE -ESSO,MG,PASSOS,Rua AV. CDOR FRANCISCO A MAIA 43,"0,77%",✅ Dentro da média,5.99,Diesel
POSTO IMACULADA CONCEI,CE,JUAZEIRO DO NORTE,"Rua AV CASTELO BRANCO 2215, S/N","0,77%",✅ Dentro da média,5.989999999999999,Diesel
AUTO POSTO G4 LTDA,SP,MAUA,"Rua AVENIDA JOAO RAMALHO, 150 4B","0,76%",✅ Dentro da média,6.264912280701755,Gasolina Comum
AUTO POSTO CINESE,SP,GUARUJA,"Rua AV. CD AUREA GONZALES 570, S","0,76%",✅ Dentro da média,4.342093473005638,Etanol
POSTO DALLAS,CE,FORTALEZA,"Rua R: ALVARO DE ALENCAR, 787, S","0,75%",✅ Dentro da média,6.264298868982084,Gasolina Comum
AUTO POSTO DOIS IRMAOS,CE,NOVA OLINDA,"Rua SITO JACUZ CE 292 SN, S/N","0,73%",✅ Dentro da média,6.262668826314478,Gasolina Comum
POSTO VIA OESTE,PE,SALGUEIRO,Rua R JOAO VERA DE SIQUEIRA 1720,"0,72%",✅ Dentro da média,5.92,Diesel S10
AUTO POSTO CERRADO,MS,DOURADOS,"Rua AV MARCELINO PIRES 2508, S/N","0,71%",✅ Dentro da média,4.34,Etanol
AUTO POSTO GUARANI,SP,SAO VICENTE,"Rua GUARANI, 11","0,71%",✅ Dentro da média,4.34,Etanol
AUTO POSTO POROROCA XVIII,MS,CAMPO GRANDE,"Área Avenida Tres Barras, 3384,","0,71%",✅ Dentro da média,4.34,Etanol
RIVA BEACH AUTO POSTO LTDA,SP,BERTIOGA,"Rua APROVADA RSL MOD VIVEIROS, 2","0,71%",✅ Dentro da média,4.34,Etanol
POSTO DE COMBUSTIVEL SAO CRISTOV,CE,CRATEUS,Rua AV  BENONY MOURAO FILHO 1030,"0,69%",✅ Dentro da média,6.26,Gasolina Comum
POSTO KUNG FU,MG,UBERLANDIA,Rua R FLORESTANO DE MACEDO TIBER,"0,65%",✅ Dentro da média,4.337232193463064,Etanol
POSTO SAO DOMINGOS,CE,FORTALEZA,"Rua AV MR HULL 4000, S/N","0,64%",✅ Dentro da média,6.257250639386188,Gasolina Comum
POSTO PEDRAS,CE,EUSEBIO,"Rua RODOVIA BR 116, 7844 KM 16,","0,62%",✅ Dentro da média,6.255892556416303,Gasolina Comum
POSTO CACIQUE 17,PI,TERESINA,"Avenida PREFEITO WALL FERRAZ, 15","0,55%",✅ Dentro da média,6.25146669154693,Gasolina Comum
POSTO KARIRI,CE,JUAZEIRO DO NORTE,"Rua AV.  CASTELO BRANCO,253, S/N","0,54%",✅ Dentro da média,6.251117847669573,Gasolina Comum
POSTO ABN,CE,AQUIRAZ,"Rua CE 040 KM 26, S/N","0,54%",✅ Dentro da média,6.251083172824373,Gasolina Comum
AUTO POSTO RJ SAO PEDRO,RJ,SAO PEDRO DA ALDEIA,"Rua ROD RJ 140 KM 51 8, S/N","0,52%",✅ Dentro da média,6.25,Gasolina Comum
MASTERGAS,SP,SAO PAULO,"Rua ROD BR 230 KM 31 SN ESTRADA,","0,52%",✅ Dentro da média,6.25,Gasolina Comum
MENDES DISTRIBUIDORA,CE,MARANGUAPE,"Rua AV DR STENIO GOMES SN, S/N","0,52%",✅ Dentro da média,6.25,Gasolina Comum
POSTO ABN,CE,AQUIRAZ,Rua 2OD CE 040 40 KM 38 CAJ DO M,"0,52%",✅ Dentro da média,6.25,Gasolina Comum
POSTO ABN,CE,PINDORETAMA,"Rua AV VALEREALBINO 405, S/N","0,52%",✅ Dentro da média,6.25,Gasolina Comum
POSTO LS,CE,FORTALEZA,"Rua SENADOR POMPEU, 1958","0,52%",✅ Dentro da média,6.25,Gasolina Comum
POSTO PRACA GOIANESIA,PA,GOIANESIA DO PARA,"Área AV TANCREDO NEVES, 01, S/N","0,52%",✅ Dentro da média,6.25,Gasolina Comum
SAO DOMINGOS PETROLEO LTDA,MA,BACABAL,"Rua BR 316 KM 357 SN, S/N","0,52%",✅ Dentro da média,6.25,Gasolina Comum
UNIAO COMERCIO DE COMBUSTIVEL,CE,FORTALEZA,"Rua AV BORGES DE MELO 1277, S/N","0,52%",✅ Dentro da média,6.25,Gasolina Comum
D. GUERRA LTDA,PI,SAO RAIMUNDO NONATO,"Área AV CORONEL MILANEZ, 00, S/N","0,52%",✅ Dentro da média,6.249999999999999,Gasolina Comum
POSTO MAGALHAES VI,CE,CAUCAIA,"Área RUA JUACI SAMPAIO PONTES, 3","0,50%",✅ Dentro da média,6.248680555555555,Gasolina Comum
POSTO DE COMBUSTIVEIS ADE,DF,BRASILIA,"Rua ADE CONJUNTO, 16, S/N","0,50%",✅ Dentro da média,6.248506050605061,Gasolina Comum
POSTO AUTO MELO,CE,CAUCAIA,"Rua AV.  AIRTON SENNA 376, S/N","0,50%",✅ Dentro da média,6.2481913027421285,Gasolina Comum
AUTO POSTO 17-SHELL,PR,MARINGA,"Rua AV COLOMBO, 5195, S/N","0,48%",✅ Dentro da média,4.33,Etanol
G10 AUTO POSTO,PR,MARINGA,"Rua ROD.  PR-317 4652 KM 03, S/N","0,48%",✅ Dentro da média,4.33,Etanol
Posto Piloto,PR,MARINGA,"Área Rua Estados Unidos, 555, S/","0,48%",✅ Dentro da média,4.33,Etanol
POSTO UNIVERSIDADE,PR,MARINGA,"Rua AV.  MORANGUEIRA 443, S/N","0,48%",✅ Dentro da média,4.33,Etanol
POSTO 100 POR CENTO,CE,LAVRAS DA MANGABEIRA,"Rua ROD CE 153 KM 250 5, S/N","0,45%",✅ Dentro da média,6.245401755570561,Gasolina Comum
POSTO CACIQUE 41,MA,TIMON,"Área R.  AQUILES LISBOA 47, S/N","0,44%",✅ Dentro da média,6.244485066510499,Gasolina Comum
JOCKEY COMERCIO DE COM,CE,FORTALEZA,Rua AVENIDA LINEU MACHADO N 560,"0,43%",✅ Dentro da média,5.970000000000001,Diesel
POSTO FREITAS,CE,ACARAU,Rua AV. VOLUNTARIO DA PATRIA 230,"0,43%",✅ Dentro da média,5.970000000000001,Diesel
POSTO PBB,CE,TAIBA,Rua RUA CAPITAO INACIO PRATA 300,"0,43%",✅ Dentro da média,5.97,Diesel
AEROPORTO COMBUSTIVEIS,MG,UBERLANDIA,"Rua AV DOM PEDRO SEGUNDO 525, S/","0,41%",✅ Dentro da média,4.327079461933157,Etanol
POSTO SAN LORENZO LTDA,CE,FORTALEZA,"Área R ALMIRANTE RUBIM, S/N","0,40%",✅ Dentro da média,6.242150324125446,Gasolina Comum
POSTO MAGNOLIA,CE,MILAGRES,"Rua ROD BR 116 KM 481, S/N","0,36%",✅ Dentro da média,6.240000000000001,Gasolina Comum
AUTOPOSTO CONFIANCA V,MA,PRESIDENTE DUTRA,"Área AV OTON GONCALVES DE SA, 19","0,36%",✅ Dentro da média,6.24,Gasolina Comum
POSTO SIM,CE,CANINDE,"Rua AV SAO FRANCISCO 1129, S/N","0,36%",✅ Dentro da média,6.24,Gasolina Comum
POSTO AVENIDA,ES,SERRA,"Rua ROD NORTE/SUL, S/N","0,33%",✅ Dentro da média,6.238080922669692,Gasolina Comum
POSTO LM,CE,FORTALEZA,"Rua AV MTO LISBOA 1680, S/N","0,30%",✅ Dentro da média,6.236237456708997,Gasolina Comum
AUTO POSTO CALUNGA LTD,SP,SAO VICENTE,"Rua AV.  ANTONIO EMMERICK 1445,","0,29%",✅ Dentro da média,4.321924257264119,Etanol
POSTO ANEL VIARIO,CE,FORTALEZA,"Rua ROD QUARTO ANEL VIARIO 1700,","0,28%",✅ Dentro da média,6.2345514983131585,Gasolina Comum
L E S COMERCIO DE COMBUSTIVEIS,CE,MARACANAU,Rua ROD. DR MENDEL STEINBRUCH 99,"0,26%",✅ Dentro da média,6.233389342832946,Gasolina Comum
AUTO POSTO DIAMANTE,MG,COROMANDEL,"Rua AV DR HUMBERTO MACHADO 50, S","0,25%",✅ Dentro da média,4.32,Etanol
POSTO ABN,CE,FORTALEZA,"Rua AV CESAR CALS 97, S/N","0,23%",✅ Dentro da média,6.2317819143265325,Gasolina Comum
MARAJO ELDORADO DOS CA,PA,ELDORADO DOS CARAJAS,"Área ROD BR 155 S N, S/N","0,21%",✅ Dentro da média,5.89,Diesel S10
POSTO 3D JAMAPARA,RJ,JAMAPARA,"Rua AV  COTRIL, S/N","0,21%",✅ Dentro da média,5.89,Diesel S10
POSTO IGUANA,RN,MOSSORO,"Rua AV PRES DUTRA SN, S/N","0,21%",✅ Dentro da média,5.89,Diesel S10
POSTO KENNEDY,PI,AMARANTE,"Rua R REGENERACAO 1546, S/N","0,21%",✅ Dentro da média,5.89,Diesel S10
POSTO REGINA,MA,IMPERATRIZ,"Rua ROD BR-010  KL 1352   S/N, S","0,21%",✅ Dentro da média,5.89,Diesel S10
POSTO TABAPOA,CE,CAUCAIA,ROD BR 222,"0,21%",✅ Dentro da média,5.89,Diesel S10
POSTO UMARITUBA HORIZONTE,CE,HORIZONTE,Rua AV PRESID CASTELO BRANCO 867,"0,21%",✅ Dentro da média,5.89,Diesel S10
VAZ OLIVEIRA & CRUZ LTDA,PA,BENEVIDES,ROD BR 316 25,"0,21%",✅ Dentro da média,5.89,Diesel S10
POSTO DUAS COLUNAS,RJ,TRES RIOS,Rua AV. CONDESSA DE RIO NOVO 105,"0,21%",✅ Dentro da média,5.889999999999999,Diesel S10
POSTO KARIRI,CE,JUAZEIRO DO NORTE,"Rua AV.  CASTELO BRANCO,253, S/N","0,21%",✅ Dentro da média,5.889999999999999,Diesel S10
AUTO POSTO VILA NOVA,MG,CATAGUASES,"Rua FRANCISCO VALENTE, 22","0,20%",✅ Dentro da média,6.23,Gasolina Comum
POSTO CAMBEBA,CE,FORTALEZA,"Rua AV WASHINGTON SOARES 5501, S","0,20%",✅ Dentro da média,6.23,Gasolina Comum
UNIAO COMERCIO DE COMBUSTIVEL L,CE,FORTALEZA,"Rua AV BORGES DE MELO 1277, S/N","0,20%",✅ Dentro da média,6.23,Gasolina Comum
POSTO PRINCESA DOS LAGOS,MA,VIANA,Área AVENIDA JORGE ABRAAO DUAILI,"0,20%",✅ Dentro da média,6.2298082869511475,Gasolina Comum
CARREFOUR ESV,SP,SAO PAULO,"Rua AV CARLOS LINDENBERG 4393, S","0,14%",✅ Dentro da média,6.226289392774788,Gasolina Comum
BULL PETROLEO,MG,ARAXA,"Rua AV WILSON BORGES 605, S/N","0,10%",✅ Dentro da média,5.95,Diesel
LUA PETROLEO-SHELL,CE,EUSEBIO,ROD CE 40 6,"0,10%",✅ Dentro da média,5.95,Diesel
POSTO TREVO 13,AL,SAO SEBASTIAO,"Rua ROD BR 101 SUL, KM 206 S/N,","0,04%",✅ Dentro da média,5.88,Diesel S10
POSTO MANIA,CE,FORTALEZA,"Rua R. JOSE TORRES N 200, S/N","0,04%",✅ Dentro da média,6.219783174727529,Gasolina Comum
POSTO STATUS,RJ,GUAPIMIRIM,"Rua EST RIO TERESOPOLIS KM 107,","-0,07%",✅ Dentro da média,5.94,Diesel
POSTO FULL,MA,PRESIDENTE DUTRA,"Área AV OTON GONCALVES DE SA, 85","-0,12%",✅ Dentro da média,6.2098066690742755,Gasolina Comum
POSTO SUL-SHELL,CE,FORTALEZA,"Rua ROD.  BR-116 KM 07 N 2620, S","-0,13%",✅ Dentro da média,5.870000000000001,Diesel S10
POSTO AEROPORTO,ES,VITORIA,Rua AVENIDA ADALBERTO SIMAO NADE,"-0,14%",✅ Dentro da média,6.208599119225947,Gasolina Comum
JACARE AUTO POSTO LTDA,MG,SAO SEBASTIAO DO PARAISO,"Rua AV OLIVEIRA REZENDE 1016, S/","-0,16%",✅ Dentro da média,4.3025370370370375,Etanol
POSTO CACIQUE 40,MA,TIMON,Área AV.  FRANCISCO CARLOS JANS,"-0,19%",✅ Dentro da média,6.205768231699642,Gasolina Comum
POSTO METANO,RJ,BARRA MANSA,"Rua ROD.PRES DUTRA KM 269, S/N","-0,19%",✅ Dentro da média,6.205285213217649,Gasolina Comum
AMCE FRONTEIRAS LTDA,RN,NATAL,"Área AVENIDA DAO SILVEIRA, 8000,","-0,22%",✅ Dentro da média,6.203841201716738,Gasolina Comum
POSTO MARANHAO,MA,SANTA INES,"Rua R DAS CAJAZEIRAS, S/N","-0,25%",✅ Dentro da média,6.201652291469512,Gasolina Comum
GIPIRES POSTO DE SERVICO LTDA,SP,SAO PAULO,"Rua AV.  CASA VERDE 2971, S/N","-0,26%",✅ Dentro da média,4.298206670007238,Etanol
POSTO SANTA MARIA,MA,IMPERATRIZ,"Praça LINO TEIXEIRA, 306","-0,27%",✅ Dentro da média,6.200276868772291,Gasolina Comum
POSTO MAIS PAIZAO BELA VISTA,MA,BELA VISTA DO MARANHAO,"ROD BR 316, 01","-0,28%",✅ Dentro da média,6.2,Gasolina Comum
POSTO CENTER,MA,SANTA INES,"Rua R DA PEDRA BRANCA 619, S/N","-0,34%",✅ Dentro da média,6.196062896006511,Gasolina Comum
EURO GAS,DF,BRASILIA,"Rua QS 9 R 123 L 06 / 14, S/N","-0,36%",✅ Dentro da média,6.194687001594897,Gasolina Comum
POSTO NATUREZA TURU,MA,SAO LUIS,Rua AV. S LUIS REI DE FRANCA 190,"-0,39%",✅ Dentro da média,6.193331957060281,Gasolina Comum
AUTO POSTO GONZAGAO,MA,IMPERATRIZ,"Praça LINO TEIXEIRA, 306","-0,39%",✅ Dentro da média,6.1931038384541734,Gasolina Comum
POSTO BRAGA,CE,MOMBACA,"Rua R JOSE DE SA AZEVEDO, 99, S/","-0,44%",✅ Dentro da média,6.190259685931267,Gasolina Comum
POSTO SAO CRISTOVAO-SHELL,MA,SANTA LUZIA,"Rua ROD BR 222 KM 49, S/N","-0,44%",✅ Dentro da média,6.190225068837544,Gasolina Comum
ALESAT POSTO ZAMBELI,RJ,BARRA DO PIRAI,"Rua R JOSE ALVES PIMENTA 1616, S","-0,44%",✅ Dentro da média,6.19,Gasolina Comum
AUTO POSTO DGF LAGOS LTDA,RJ,SAO PEDRO DA ALDEIA,"Rua ROD AMARAL PEIXOTO KM 110, S","-0,44%",✅ Dentro da média,6.19,Gasolina Comum
KLL POSTO DE ABAST E-SHELL,SP,MAUA,"Rua AV. PAPA JOAO XXIII 2009, S/","-0,44%",✅ Dentro da média,6.19,Gasolina Comum
POSTO CAMPEAO,PE,PAUDALHO,"Rodovia BR 408/3, S/N","-0,44%",✅ Dentro da média,6.19,Gasolina Comum
POSTO KENNEDY,PI,AMARANTE,"Rua R REGENERACAO 1546, S/N","-0,44%",✅ Dentro da média,6.19,Gasolina Comum
POSTO MARAVILHA,CE,RUSSAS,"Avenida IRMA MARIA DA GRACA, 104","-0,44%",✅ Dentro da média,6.19,Gasolina Comum
POSTO NATUREZA ARACAGY,MA,SAO JOSE DE RIBAMAR,"Área ESTRADA RAPOSA  01 06 SN, S","-0,44%",✅ Dentro da média,6.19,Gasolina Comum
POSTO NATUREZA HOLANDESES,MA,SAO LUIS,"Área AV DOS HOLANDESES,19, S/N","-0,44%",✅ Dentro da média,6.19,Gasolina Comum
POSTO NATUREZA TIBIRI,MA,SAO LUIS,"Área AV.  EMILIANO MACIEIRA,13,","-0,44%",✅ Dentro da média,6.19,Gasolina Comum
POSTO SANTA LUZIA,CE,RUSSAS,RUA RAIMUNDO ALVES 2205,"-0,44%",✅ Dentro da média,6.19,Gasolina Comum
RVM DO SUDOESTE -ESSO,MG,PASSOS,Rua AV. CDOR FRANCISCO A MAIA 43,"-0,44%",✅ Dentro da média,6.19,Gasolina Comum
VERTICE AUTO POSTO,RJ,SAMPAIO CORREIA,"Rua R PROF SOUSA 777, S/N","-0,44%",✅ Dentro da média,6.19,Gasolina Comum
AUTO POSTO GUARANI,SP,SAO VICENTE,"Rua GUARANI, 11","-0,44%",✅ Dentro da média,6.1899999999999995,Gasolina Comum
P.CACIQUE 07,PI,TERESINA,"Rua AV. DQ CAXIAS 2448, S/N","-0,44%",✅ Dentro da média,6.1899999999999995,Gasolina Comum
POSTO MONTE CRISTO LTDA,RJ,BARRA MANSA,Rua ROD PRESIDENTE DUTRA KM 271,"-0,44%",✅ Dentro da média,6.1899999999999995,Gasolina Comum
POSTO STATUS,RJ,GUAPIMIRIM,"Rua EST RIO TERESOPOLIS KM 107,","-0,44%",✅ Dentro da média,6.189999999999999,Gasolina Comum
A P ANTONIO EMERICK,SP,SAO VICENTE,"Rua AV. ANTONIO EMMERICK 46, S/N","-0,45%",✅ Dentro da média,4.290000000000001,Etanol
AUTO POSTO 7 PASSOS,SP,PERUIBE,"Rua AV JOAO ABEL 1276, S/N","-0,45%",✅ Dentro da média,4.29,Etanol
AUTO POSTO COLORADO,SP,SERRANA,"Rua RUA RUA RIO DE JANEIRO 2000,","-0,45%",✅ Dentro da média,4.29,Etanol
AUTO POSTO KAJIYA,SP,SAO SEBASTIAO,"Rua AVENIDA GDA-MOR LOBO VIANA,","-0,45%",✅ Dentro da média,4.29,Etanol
AUTO POSTO LINHA UM,SP,SANTOS,"Rua AV NS DE FATIMA 635, S/N","-0,45%",✅ Dentro da média,4.29,Etanol
AUTO POSTO METROP,SP,SAO PAULO,"Rua AV. RAGUEB CHOHFI 810, S/N","-0,45%",✅ Dentro da média,4.29,Etanol
AUTO POSTO MONACO,MG,UBERLANDIA,"Avenida SEGISMUNDO PEREIRA, 2872","-0,45%",✅ Dentro da média,4.29,Etanol
AUTO POSTO N S J DA BARRA,SP,SAO JOAQUIM DA BARRA,AV GOV ORESTES QUERCIA 2863,"-0,45%",✅ Dentro da média,4.29,Etanol
AUTO POSTO PRA FRENTE,PR,ARAPONGAS,"Rua ROD BR 369 KM 181,2 SAIDA, S","-0,45%",✅ Dentro da média,4.29,Etanol
AUTO POSTO PRESIDENTE COSTA 2 LT,SP,PRAIA GRANDE,"Área AVENIDA COSTA E SILVA, 1088","-0,45%",✅ Dentro da média,4.29,Etanol
AUTO POSTO RNM,SP,JACAREI,"Rua ROD.  NILO MAXIMO  KM 4, S/N","-0,45%",✅ Dentro da média,4.29,Etanol
CENTRO AUTOMOTIVO AGUA FRIA LTD,SP,SAO PAULO,"Rua AV AGUA FRIA 779, S/N","-0,45%",✅ Dentro da média,4.29,Etanol
CENTRO AUTOMOTIVO GUARUMON,SP,SAO PAULO,Área AV OCTAVIO B DE MESQUITA SN,"-0,45%",✅ Dentro da média,4.29,Etanol
POSTO CONTIN,SP,SAO JOAQUIM DA BARRA,"Rua RUA PARAIBA 775, S/N","-0,45%",✅ Dentro da média,4.29,Etanol
POSTO CPA,PR,MARIALVA,"Rua ROD BR 376, S/N","-0,45%",✅ Dentro da média,4.29,Etanol
POSTO MALBEC,SP,SAO CAETANO DO SUL,"Rua R. S PAULO, 650, S/N","-0,45%",✅ Dentro da média,4.29,Etanol
